Time,State_of_Charge
2024-01-07 15:00:00,42.94
2024-01-07 15:06:00,42.2
2024-01-07 15:12:00,41.33
2024-01-07 15:18:00,40.58
2024-01-07 15:24:00,39.84
2024-01-07 15:30:00,38.56
2024-01-07 15:36:00,37.08
2024-01-07 15:42:00,36.34
2024-01-07 15:48:00,35.59
2024-01-07 15:54:00,34.82
2024-01-07 16:00:00,34.07
2024-01-07 16:06:00,32.69
2024-01-07 16:12:00,31.72
2024-01-07 16:18:00,30.74
2024-01-07 16:24:00,29.76
2024-01-07 16:30:00,28.76
2024-01-07 16:36:00,27.76
2024-01-07 16:42:00,26.75
2024-01-07 16:48:00,26.35
2024-01-07 16:54:00,25.96
2024-01-07 17:00:00,28.0
2024-01-07 17:06:00,35.0
2024-01-07 17:12:00,45.0
2024-01-07 17:18:00,55.0
2024-01-07 17:24:00,65.0
2024-01-07 17:30:00,75.0
2024-01-07 17:36:00,80.0
2024-01-07 17:42:00,85.0
2024-01-07 17:48:00,87.0
2024-01-07 17:54:00,88.5
2024-01-07 18:00:00,90.0
2024-01-07 18:06:00,91.0
2024-01-07 18:12:00,91.5
2024-01-07 18:18:00,92.0
2024-01-07 18:24:00,92.33
